time,gFx,gFy,gFz,Class
1552296645.59,515.328,839.360,281.088,1
1552296645.60,507.520,839.360,284.992,1
1552296645.61,499.712,819.840,288.896,1
1552296645.62,507.520,831.552,292.800,1
1552296645.63,507.520,827.648,292.800,1
1552296645.64,523.136,819.840,292.800,1
1552296645.65,527.040,823.744,292.800,1
1552296645.66,538.752,815.936,288.896,1
1552296645.67,542.656,815.936,292.800,1
1552296645.68,554.368,815.936,292.800,1
1552296645.69,562.176,827.648,308.416,1
1552296645.70,546.560,827.648,320.128,1
1552296645.71,550.464,835.456,327.936,1
1552296645.72,530.944,839.360,320.128,1
1552296645.73,523.136,815.936,320.128,1
1552296645.74,523.136,808.128,320.128,1
1552296645.75,530.944,804.224,312.320,1
1552296645.76,523.136,796.416,300.608,1
1552296645.77,511.424,815.936,304.512,1
1552296645.78,511.424,819.840,320.128,1
1552296645.79,491.904,827.648,316.224,1
1552296645.80,491.904,827.648,296.704,1
1552296645.81,503.616,823.744,304.512,1
1552296645.82,491.904,823.744,284.992,1
1552296645.83,503.616,815.936,288.896,1
1552296645.84,519.232,823.744,277.184,1
1552296645.85,523.136,823.744,304.512,1
1552296645.86,530.944,812.032,308.416,1
1552296645.87,542.656,827.648,316.224,1
1552296645.88,530.944,812.032,300.608,1
1552296645.89,530.944,812.032,300.608,1
1552296645.90,534.848,800.320,316.224,1
1552296645.91,538.752,808.128,312.320,1
1552296645.92,538.752,800.320,324.032,1
1552296645.93,538.752,812.032,304.512,1
1552296645.94,546.560,815.936,300.608,1
1552296645.95,538.752,815.936,304.512,1
1552296645.96,534.848,812.032,308.416,1
1552296645.97,546.560,804.224,316.224,1
1552296645.98,530.944,800.320,331.840,1
1552296645.99,534.848,815.936,320.128,1
1552296646.00,542.656,808.128,304.512,1
1552296646.01,550.464,800.320,312.320,1
1552296646.02,569.984,796.416,316.224,1
1552296646.03,566.080,800.320,324.032,1
1552296646.04,566.080,776.896,327.936,1
1552296646.05,546.560,784.704,304.512,1
1552296646.06,550.464,780.800,288.896,1
1552296646.07,530.944,788.608,296.704,1
1552296646.08,515.328,804.224,300.608,1
1552296646.09,511.424,812.032,308.416,1
1552296646.10,511.424,819.840,320.128,1
