time1,Statistic1_x,Statistic1_y,Statistic1_z,Statistic1_r,Statistic1_theta,Statistic1_phi,Variance_x,Variance_y,Variance_z,Variance_r,Variance_theta,Variance_phi,skewness_x,skewness_y,skewness_z,skewness_r,skewness_theta,skewness_phi,kurtosis_x,kurtosis_y,kurtosis_z,kurtosis_r,kurtosis_theta,kurtosis_phi,max_x,max_y,max_z,max_r,max_theta,max_phi,min_x,min_y,min_z,min_r,min_theta,min_phi,Class
32.683857,0.044795592,-0.002182742,0.0017266,0.002192567,0.6819574,-8.83010535,0.096590935,0.089454234,0.119165496,0.106613981,5.465360362,26.79409784,-0.175192701,0.120790517,0.260539285,0.192771738,0.065482347,0.235406744,-0.090215444,-1.432141815,0.595229196,0.75686212,-0.845054755,0.149032182,0.277995,0.13392,0.2944625,0.2686905,12.625348,48.532318,-0.1780865,-0.1435725,-0.3099455,-0.271419,-10.1368065,-74.120312,0
35.6549797,0.008813333,-0.084936375,0.0377876,0.01624295,-5.132093308,4.602800983,0.062126946,0.053483682,0.100614808,0.097951874,3.087367463,26.81033081,-0.334273004,-0.238908078,0.474308245,0.494584203,-0.090987908,0.216169397,-0.116131795,-0.866092377,-0.363255335,-0.361509856,-0.888220809,-0.501920818,0.144404,0.010335,0.2746935,0.254065,1.1776485,57.6576845,-0.1510575,-0.1919575,-0.138892,-0.1531805,-10.749795,-52.539169,0
38.6260757,0.021338992,-0.0049446,0.000389358,-0.000273975,-0.086788017,-2.327893517,0.073551403,0.108923896,0.088082477,0.078754414,5.854387086,28.78096624,-0.005972614,-0.419177615,0.594812829,0.244879287,-0.439668662,0.022851254,-0.725490027,-1.132669553,0.333870709,0.480962534,-1.054718946,1.046085996,0.173417,0.150729,0.2489155,0.2203085,8.682325,65.295128,-0.118537,-0.1995845,-0.1727855,-0.17382,-12.196222,-82.4822885,0
41.5972977,0.015263033,-0.068601258,0.034931542,0.017189092,-3.933482558,2.522256775,0.080744727,0.060647614,0.081353949,0.080159032,3.133050712,30.04609211,-0.149296458,-0.118965502,-0.278618375,-0.386873422,-0.221914924,0.096186981,-0.790108519,-1.314137876,0.37702594,0.376436862,-1.171624216,-0.713885171,0.150049,0.0203415,0.205717,0.1874235,0.663979,64.9912105,-0.168965,-0.1771005,-0.201462,-0.217996,-10.066045,-62.2850785,0
44.5685425,0.020679567,-0.09198205,0.034234467,0.011225642,-5.5548242,-3.523699917,0.055572013,0.053055673,0.115776975,0.113360402,3.001583274,27.80557665,0.706244102,-0.036825262,0.594406703,0.589360425,0.322704776,-1.013178821,0.309992982,-0.889022437,0.796897601,0.771689801,-0.157088976,0.761184899,0.1794875,0.012868,0.3791805,0.3470225,3.1221495,42.868225,-0.0737515,-0.203825,-0.2025595,-0.2253065,-10.7474175,-77.420292,0
47.5398254,0.009602917,0.033146142,-0.004997125,-0.001644567,1.537729917,-1.32625895,0.060277153,0.062841815,0.058014763,0.055242128,3.293485954,16.09546382,-0.256771227,-0.525100351,0.137952441,-0.105661799,-0.680509959,0.565221111,0.015943491,-0.276661592,1.640961558,1.196992886,-0.04030408,1.254478619,0.139524,0.144781,0.1727085,0.151747,6.9787725,45.1626205,-0.141753,-0.1195635,-0.1812665,-0.1668205,-5.253321,-39.0577085,0
50.5111694,0.030767167,0.066837742,-0.010020667,0.003601542,3.518303708,-6.642714983,0.070930929,0.064107788,0.068566469,0.065187695,3.378390518,16.02413002,0.042162582,-0.131043281,0.117535796,-0.000783626,0.003440054,-0.015789645,0.048252644,-1.258440449,-0.789615325,-0.632228276,-0.978147846,0.78447601,0.186443,0.185416,0.1324695,0.1299095,10.5481355,34.2655105,-0.134797,-0.0559565,-0.1472205,-0.145803,-3.150662,-46.605167,0
53.4823914,0.031209092,0.038420783,0.001182025,0.009676183,2.126188417,-5.429340908,0.089017271,0.087437734,0.0964058,0.091697459,5.052083936,20.60518531,-0.29973349,-0.371930199,0.991788687,0.793564765,-0.557450937,0.277681975,-0.496866225,-0.49692179,0.497608333,0.249942462,-0.559473326,-0.576074787,0.192392,0.1913345,0.293456,0.2762335,9.626972,40.1333315,-0.173541,-0.155136,-0.136633,-0.1431755,-9.2409565,-44.7535665,0
56.4534988,0.024238225,-0.052368017,0.012151325,0.001030133,-2.359574342,-3.495397992,0.08759235,0.091347007,0.103256686,0.098074243,4.729032893,46.24575806,-0.167111912,-0.420172958,0.133750849,0.090823451,-0.462377377,1.615634618,-0.444589471,-0.797744289,-0.454555439,-0.563898194,-0.496001579,5.584690325,0.199927,0.08941,0.2531865,0.226309,7.004115,204.9373625,-0.166708,-0.2583725,-0.1865135,-0.194539,-12.4853615,-85.7143135,0
59.424633,-0.044771925,0.048040292,0.0054097,-0.002347358,0.321697775,-19.36674711,0.09605083,0.083501214,0.052770484,0.050220245,3.275057491,19.18332777,-0.247737342,0.089850289,-0.093552439,-0.279427309,0.029360208,0.076421567,-1.617044883,-1.360993521,0.085873647,0.421439547,-0.144000072,-1.338548075,0.0815595,0.1767655,0.1390895,0.110834,8.2705335,19.198063,-0.207559,-0.107728,-0.1238215,-0.132495,-7.9487915,-44.572975,0
62.3909196,-0.06756145,-0.091892758,0.052805808,-0.001098617,-6.947976342,-7.263085033,0.105859727,0.163644644,0.078768235,0.072688944,5.124349683,82.2567381,0.550943945,-0.712995249,0.543384775,0.058537073,0.118190804,0.997065306,-0.950741523,-0.529259179,0.098878775,0.523156865,-1.140602051,-0.072840623,0.1621875,0.113921,0.2915695,0.2110905,1.5816275,185.540802,-0.230836,-0.471451,-0.088519,-0.163262,-16.219922,-139.74498,3
